"REF_DATE","GEO","DGUID","Type of currency","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-07-16","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-07-17","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8988","","","","4"
"2023-07-18","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8983","","","","4"
"2023-07-19","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8916","","","","4"
"2023-07-20","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8943","","","","4"
"2023-07-21","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8896","","","","4"
"2023-07-22","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-07-23","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-07-24","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8879","","","","4"
"2023-07-25","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8940","","","","4"
"2023-07-26","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8925","","","","4"
"2023-07-27","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8894","","","","4"
"2023-07-28","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8814","","","","4"
"2023-07-29","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-07-30","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-07-31","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8858","","","","4"
"2023-08-01","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8786","","","","4"
"2023-08-02","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8735","","","","4"
"2023-08-03","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8739","","","","4"
"2023-08-04","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8799","","","","4"
"2023-08-05","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-08-06","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-08-07","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","","..","","","4"
"2023-08-08","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8774","","","","4"
"2023-08-09","Canada","2016A000011124","Australian dollar, daily average","Dollars","81","units","0","v111666224","1.1","0.8775","","","","4"
